floor,county,log_radon,log_uranium,county_id
1,AITKIN              ,0.78845736,-0.689047595,1
0,AITKIN              ,0.78845736,-0.689047595,1
0,AITKIN              ,1.064710737,-0.689047595,1
0,AITKIN              ,0,-0.689047595,1
0,ANOKA               ,1.131402111,-0.84731286,2
0,ANOKA               ,0.916290732,-0.84731286,2
0,ANOKA               ,0.405465108,-0.84731286,2
0,ANOKA               ,0,-0.84731286,2
0,ANOKA               ,-0.356674944,-0.84731286,2
0,ANOKA               ,0.182321557,-0.84731286,2
0,ANOKA               ,0.182321557,-0.84731286,2
0,ANOKA               ,0.262364264,-0.84731286,2
0,ANOKA               ,0.336472237,-0.84731286,2
0,ANOKA               ,-0.916290732,-0.84731286,2
0,ANOKA               ,0.09531018,-0.84731286,2
0,ANOKA               ,1.504077397,-0.84731286,2
0,ANOKA               ,0.262364264,-0.84731286,2
0,ANOKA               ,0.741937345,-0.84731286,2
0,ANOKA               ,1.774952351,-0.84731286,2
0,ANOKA               ,1.193922468,-0.84731286,2
0,ANOKA               ,0.587786665,-0.84731286,2
0,ANOKA               ,1.686398954,-0.84731286,2
0,ANOKA               ,1.840549633,-0.84731286,2
0,ANOKA               ,0.641853886,-0.84731286,2
0,ANOKA               ,1.887069649,-0.84731286,2
0,ANOKA               ,1.131402111,-0.84731286,2
0,ANOKA               ,1.916922612,-0.84731286,2
0,ANOKA               ,1.945910149,-0.84731286,2
0,ANOKA               ,2.041220329,-0.84731286,2
0,ANOKA               ,1.648658626,-0.84731286,2
0,ANOKA               ,1.504077397,-0.84731286,2
0,ANOKA               ,1.481604541,-0.84731286,2
0,ANOKA               ,1.029619417,-0.84731286,2
0,ANOKA               ,2.091864062,-0.84731286,2
0,ANOKA               ,0.470003629,-0.84731286,2
0,ANOKA               ,1.435084525,-0.84731286,2
0,ANOKA               ,1.686398954,-0.84731286,2
0,ANOKA               ,1.386294361,-0.84731286,2
0,ANOKA               ,0.832909123,-0.84731286,2
0,ANOKA               ,1.064710737,-0.84731286,2
0,ANOKA               ,0.336472237,-0.84731286,2
0,ANOKA               ,1.193922468,-0.84731286,2
0,ANOKA               ,1.064710737,-0.84731286,2
1,ANOKA               ,0.587786665,-0.84731286,2
1,ANOKA               ,-1.609437912,-0.84731286,2
0,ANOKA               ,0.875468737,-0.84731286,2
1,ANOKA               ,0.09531018,-0.84731286,2
0,ANOKA               ,0.78845736,-0.84731286,2
0,ANOKA               ,-0.510825624,-0.84731286,2
0,ANOKA               ,0.530628251,-0.84731286,2
0,ANOKA               ,1.064710737,-0.84731286,2
0,ANOKA               ,0.78845736,-0.84731286,2
0,ANOKA               ,0.530628251,-0.84731286,2
0,ANOKA               ,0.336472237,-0.84731286,2
0,ANOKA               ,0.641853886,-0.84731286,2
0,ANOKA               ,0.587786665,-0.84731286,2
1,BECKER              ,0.182321557,-0.113458774,3
0,BECKER              ,1.458615023,-0.113458774,3
1,BECKER              ,1.504077397,-0.113458774,3
0,BELTRAMI            ,1.840549633,-0.593352526,4
0,BELTRAMI            ,1.526056303,-0.593352526,4
0,BELTRAMI            ,1.740466175,-0.593352526,4
1,BELTRAMI            ,0.78845736,-0.593352526,4
1,BELTRAMI            ,-0.916290732,-0.593352526,4
1,BELTRAMI            ,1.526056303,-0.593352526,4
1,BELTRAMI            ,1.481604541,-0.593352526,4
0,BENTON              ,1.887069649,-0.142890481,5
0,BENTON              ,0.993251773,-0.142890481,5
1,BENTON              ,1.064710737,-0.142890481,5
0,BENTON              ,1.064710737,-0.142890481,5
0,BIG STONE           ,1.974081026,0.387056708,6
0,BIG STONE           ,1.609437912,0.387056708,6
0,BIG STONE           ,0.955511445,0.387056708,6
0,BLUE EARTH          ,1.609437912,0.271613664,7
0,BLUE EARTH          ,2.564949357,0.271613664,7
0,BLUE EARTH          ,1.974081026,0.271613664,7
0,BLUE EARTH          ,1.916922612,0.271613664,7
0,BLUE EARTH          ,2.549445171,0.271613664,7
1,BLUE EARTH          ,1.757857918,0.271613664,7
0,BLUE EARTH          ,2.251291799,0.271613664,7
0,BLUE EARTH          ,1.791759469,0.271613664,7
0,BLUE EARTH          ,1.335001067,0.271613664,7
1,BLUE EARTH          ,2.660259537,0.271613664,7
0,BLUE EARTH          ,0.587786665,0.271613664,7
0,BLUE EARTH          ,1.931521412,0.271613664,7
0,BLUE EARTH          ,1.547562509,0.271613664,7
0,BLUE EARTH          ,2.251291799,0.271613664,7
1,BROWN               ,0.916290732,0.277578705,8
0,BROWN               ,1.902107526,0.277578705,8
1,BROWN               ,1.386294361,0.277578705,8
0,BROWN               ,2.312535424,0.277578705,8
0,CARLTON             ,0.78845736,-0.332315488,9
0,CARLTON             ,0.587786665,-0.332315488,9
0,CARLTON             ,1.223775432,-0.332315488,9
1,CARLTON             ,1.722766598,-0.332315488,9
0,CARLTON             ,1.458615023,-0.332315488,9
0,CARLTON             ,1.360976553,-0.332315488,9
0,CARLTON             ,0.262364264,-0.332315488,9
0,CARLTON             ,1.435084525,-0.332315488,9
0,CARLTON             ,-0.223143551,-0.332315488,9
0,CARLTON             ,0.693147181,-0.332315488,9
0,CARVER              ,0.470003629,0.095864572,10
0,CARVER              ,0.470003629,0.095864572,10
0,CARVER              ,2.557227311,0.095864572,10
0,CARVER              ,2.557227311,0.095864572,10
1,CARVER              ,2.687847494,0.095864572,10
1,CARVER              ,2.687847494,0.095864572,10
1,CARVER              ,1.547562509,0.095864572,10
1,CARVER              ,1.547562509,0.095864572,10
0,CARVER              ,2.261763098,0.095864572,10
0,CARVER              ,2.261763098,0.095864572,10
1,CARVER              ,-2.302585093,0.095864572,10
1,CARVER              ,-2.302585093,0.095864572,10
0,CASS                ,1.30833282,-0.608219807,11
0,CASS                ,2.00148,-0.608219807,11
0,CASS                ,0.641853886,-0.608219807,11
0,CASS                ,1.667706821,-0.608219807,11
0,CASS                ,1.386294361,-0.608219807,11
0,CHIPPEWA            ,2.041220329,0.273684563,12
0,CHIPPEWA            ,0.336472237,0.273684563,12
0,CHIPPEWA            ,2.302585093,0.273684563,12
0,CHIPPEWA            ,2.240709689,0.273684563,12
0,CHISAGO             ,-0.223143551,-0.735320087,13
0,CHISAGO             ,1.481604541,-0.735320087,13
0,CHISAGO             ,1.609437912,-0.735320087,13
0,CHISAGO             ,0.741937345,-0.735320087,13
0,CHISAGO             ,0.530628251,-0.735320087,13
0,CHISAGO             ,2.091864062,-0.735320087,13
